market,category,direction,seq,item_ar,authority,source_url,confidence,note
GCC,food,entry,20,شهادة حلال من جهة معتمدة لمنتجات اللحوم والدواجن ومشتقاتها,المركز الخليجي للاعتماد GAC / الجهات المعتمدة بالسوق,https://www.gac.org.sa,0.7,مرجع طبقة ١ — تحقق من الجهة المعتمدة بالسوق قبل الشحن؛ مزامنة ربع سنوية
GCC,all,entry,30,مطابقة المواصفات القياسية الخليجية (GSO) للفئات الخاضعة وشهادة المطابقة,هيئة التقييس لدول مجلس التعاون GSO,https://www.gso.org.sa,0.6,مرجع طبقة ١ — الفئات الخاضعة تتغير؛ تحقق من اللائحة الفنية للفئة
GCC,food,entry,40,بطاقة غذائية عربية (أو ثنائية) مطابقة للمواصفة الخليجية للبطاقات الغذائية,GSO / جهة الرقابة الغذائية بالسوق,https://www.gso.org.sa,0.6,مرجع طبقة ١ — راجع متطلبات البطاقة المحدثة للفئة
ARE,food,entry,50,تسجيل المنتج الغذائي قبل الاستيراد لدى الجهة الاتحادية/بلدية الإمارة المستهدفة,وزارة التغير المناخي والبيئة / بلديات الإمارات,https://www.moccae.gov.ae,0.6,مرجع طبقة ١ — الإجراء يختلف بين الإمارات (دبي: منتجي)؛ تحقق محلياً
SAU,all,entry,20,شهادة مطابقة عبر منصة سابر (SABER) للمنتجات الخاضعة قبل الفسح,الهيئة السعودية للمواصفات والمقاييس والجودة SASO,https://saber.sa,0.8,مرجع طبقة ١ — حدد اللائحة الفنية المنطبقة على فئة المنتج
SAU,food,entry,30,تسجيل المنتجات الغذائية المستوردة لدى الهيئة العامة للغذاء والدواء وفسحها,الهيئة العامة للغذاء والدواء SFDA,https://www.sfda.gov.sa,0.8,مرجع طبقة ١ — الفئات الغذائية والدوائية والتجميلية خاضعة لأنظمة SFDA
EU,animal,entry,10,الأهلية أولاً: إدراج الدولة **والمنشأة** على القوائم الأوروبية المعتمدة للمنتجات حيوانية المصدر — إن لم تكن المنشأة السعودية مدرجة فكل ما بعده بلا معنى,المفوضية الأوروبية — إطار اللائحتين (EU) 2017/625 و(EU) 2022/2292,https://eur-lex.europa.eu/eli/reg/2017/625/oj,0.8,مرجع طبقة ١ (أوروبا) — أول بند بقائمة التحقق لا آخرها؛ اعتماد المنشأة يمر عبر الجهة السعودية المختصة
EU,food,entry,20,التحقق من ملاحق الرقابة المشددة — هل فئة المنتج/بلد المنشأ مدرجان بنسب فحص مرتفعة أو شهادة رسمية + تقرير مختبر لكل شحنة؟,اللائحة (EU) 2019/1793 — ملاحقها تُراجع دورياً (~كل 6 أشهر),https://eur-lex.europa.eu/eli/reg_impl/2019/1793/oj,0.7,مرجع طبقة ١ (أوروبا) — الملاحق حية: مزامنة نصف سنوية إلزامية
EU,food,entry,30,حدود متبقيات المبيدات (قاعدة MRL قابلة للاستعلام بالمنتج × المادة) والملوثات — افحص مخبرياً قبل الشحن لا عند الوصول,اللائحتان (EC) 396/2005 (متبقيات) و(EU) 2023/915 (ملوثات),https://food.ec.europa.eu/plants/pesticides/eu-pesticides-database_en,0.7,مرجع طبقة ١ (أوروبا) — هنا تسقط أغلب الشحنات الغذائية عملياً
EU,food,entry,40,هل المنتج «غذاء جديد»؟ مكونات لم تُستهلك بشكل معتبر في أوروبا قبل 1997 تتطلب ترخيصاً مسبقاً,اللائحة (EU) 2015/2283,https://eur-lex.europa.eu/eli/reg/2015/2283/oj,0.6,مرجع طبقة ١ (أوروبا) — يمس المنتجات المبتكرة من مكونات محلية
EU,food,entry,50,الملصق بلغة الدولة المستوردة بالمتطلبات الإلزامية (مغذيات، مسببات حساسية، منشأ),اللائحة (EU) 1169/2011,https://eur-lex.europa.eu/eli/reg/2011/1169/oj,0.7,مرجع طبقة ١ (أوروبا) — راجع النسخة المعدّلة (consolidated) الأخيرة
EU,food,entry,60,الإجراء الحدودي: إخطار مسبق عبر TRACES (وثيقة CHED) بنقطة تفتيش حدودية BCP + مستورد أوروبي مسجّل برقم EORI,المفوضية الأوروبية — نظام TRACES,https://food.ec.europa.eu/horizontal-topics/traces_en,0.7,مرجع طبقة ١ (أوروبا) — وجود شريك استيراد أوروبي شرط تشغيلي لا ورقي
SAU,all,exit,20,شهادة المنشأ السعودية للصادرات (وزارة التجارة / الغرف التجارية),وزارة التجارة,https://mc.gov.sa,0.8,مرجع طبقة ١ (اتجاه الخروج) — مطلوبة لأغلب الأسواق لإثبات المنشأ والتفضيلات
SAU,food,exit,30,متطلبات SFDA لتصدير الفئات الخاضعة (منشآت مرخّصة وشهادات صحية عند طلب سوق الوجهة),الهيئة العامة للغذاء والدواء SFDA,https://www.sfda.gov.sa,0.7,مرجع طبقة ١ (اتجاه الخروج) — بعض أسواق الوجهة تشترط شهادة صحية/حلال من المصدر؛ اعتماد المنشأة أوروبياً يمر عبر SFDA
SAU,all,exit,40,التسجيل في بوابة هيئة تنمية الصادرات السعودية (خدمات وبرامج دعم المصدرين),هيئة تنمية الصادرات السعودية,https://saudiexports.sa,0.6,مرجع طبقة ١ (اتجاه الخروج) — اختياري داعم لا إلزامي جمركياً
